AAR,Total,COUNTRY
1999.0,1371.0,Iran
1999.0,1324.0,Frankrig
1999.0,1307.0,Bosnien-Hercegovina
1999.0,1061.0,Island
1999.0,1008.0,Italien
1999.0,946.0,Kina
1999.0,922.0,Libanon
1999.0,918.0,Polen
1999.0,883.0,Thailand
1999.0,775.0,Filippinerne
1999.0,648.0,Makedonien
1999.0,567.0,Spanien
1999.0,564.0,Finland
2000.0,5965.0,Tyrkiet
2000.0,3865.0,Storbritannien
2000.0,3673.0,Jugoslavien
2000.0,3625.0,Pakistan
2000.0,3230.0,Irak
2000.0,2843.0,Somalia
2000.0,2802.0,Sverige
2000.0,2525.0,Norge
2000.0,2076.0,Marokko
2000.0,1607.0,Tyskland
2000.0,1476.0,USA
2000.0,1414.0,Statsløs
2000.0,1353.0,Frankrig
2000.0,1339.0,Bosnien-Hercegovina
2000.0,1224.0,Iran
2000.0,1060.0,Island
2000.0,1055.0,Italien
2000.0,966.0,Kina
2000.0,947.0,Thailand
2000.0,938.0,Polen
2000.0,841.0,Makedonien
2000.0,827.0,Libanon
2000.0,773.0,Filippinerne
2000.0,613.0,Finland
2000.0,602.0,Spanien
2001.0,5784.0,Tyrkiet
2001.0,3827.0,Storbritannien
2001.0,3524.0,Pakistan
2001.0,3374.0,Jugoslavien
2001.0,3071.0,Somalia
2001.0,2902.0,Sverige
2001.0,2830.0,Irak
2001.0,2622.0,Norge
2001.0,1901.0,Marokko
2001.0,1616.0,Tyskland
2001.0,1471.0,USA
2001.0,1322.0,Frankrig
2001.0,1300.0,Bosnien-Hercegovina
2001.0,1127.0,Italien
2001.0,1115.0,Statsløs
2001.0,1087.0,Island
2001.0,1077.0,Iran
2001.0,1019.0,Kina
2001.0,999.0,Thailand
2001.0,900.0,Makedonien
2001.0,882.0,Polen
2001.0,759.0,Filippinerne
2001.0,658.0,Libanon
2001.0,655.0,Spanien
2001.0,612.0,Finland
2002.0,5482.0,Tyrkiet
2002.0,3746.0,Storbritannien
2002.0,3487.0,Pakistan
2002.0,3223.0,Jugoslavien
2002.0,3123.0,Somalia
2002.0,2881.0,Sverige
2002.0,2782.0,Irak
2002.0,2740.0,Norge
2002.0,1849.0,Marokko
2002.0,1695.0,Tyskland
2002.0,1505.0,USA
2002.0,1263.0,Frankrig
2002.0,1227.0,Bosnien-Hercegovina
2002.0,1151.0,Italien
2002.0,1137.0,Island
2002.0,1083.0,Kina
2002.0,1053.0,Thailand
2002.0,1042.0,Iran
2002.0,1025.0,Statsløs
2002.0,953.0,Makedonien
2002.0,914.0,Polen
2002.0,773.0,Filippinerne
2002.0,671.0,Spanien
2002.0,609.0,Libanon
2002.0,603.0,Finland
2003.0,5125.0,Tyrkiet
2003.0,3607.0,Storbritannien
2003.0,3381.0,Pakistan
2003.0,2957.0,Jugoslavien
2003.0,2883.0,Sverige
2003.0,2882.0,Norge
2003.0,2808.0,Somalia
2003.0,2652.0,Irak
2003.0,1740.0,Marokko
