AAR,STATKODE,BYDEL,Total,Percentage,COUNTRY,DISTRICT
1994.0,5100.0,9.0,41988.0,0.916348399206,Danmark,Amager Øst
1994.0,5100.0,10.0,40019.0,0.924034265395,Danmark,Amager Vest
1994.0,5100.0,99.0,1389.0,0.717458677686,Danmark,Udenfor inddeling
1995.0,0.0,0.0,44666.0,0.0947719074899,Foreign Nations,All Districts
1995.0,0.0,1.0,3261.0,0.0784271284271,Foreign Nations,Indre By
1995.0,0.0,2.0,3917.0,0.0616151764928,Foreign Nations,Østerbro
1995.0,0.0,3.0,10857.0,0.15817768583,Foreign Nations,Nørrebro
1995.0,0.0,4.0,6763.0,0.14198139945,Foreign Nations,Vesterbro/Kgs. Enghave
1995.0,0.0,5.0,3007.0,0.0688541857483,Foreign Nations,Valby
1995.0,0.0,6.0,1428.0,0.0408899579074,Foreign Nations,Vanløse
1995.0,0.0,7.0,2999.0,0.0800886610052,Foreign Nations,Brønshøj-Husum
1995.0,0.0,8.0,3944.0,0.094510076442,Foreign Nations,Bispebjerg
1995.0,0.0,9.0,4053.0,0.0878489682677,Foreign Nations,Amager Øst
1995.0,0.0,10.0,3524.0,0.0806998259595,Foreign Nations,Amager Vest
1995.0,0.0,99.0,913.0,0.396784006953,Foreign Nations,Udenfor inddeling
1995.0,5100.0,0.0,426634.0,0.90522809251,Danmark,All Districts
1995.0,5100.0,1.0,38319.0,0.921572871573,Danmark,Indre By
1995.0,5100.0,2.0,59655.0,0.938384823507,Danmark,Østerbro
1995.0,5100.0,3.0,57781.0,0.84182231417,Danmark,Nørrebro
1995.0,5100.0,4.0,40870.0,0.85801860055,Danmark,Vesterbro/Kgs. Enghave
1995.0,5100.0,5.0,40665.0,0.931145814252,Danmark,Valby
1995.0,5100.0,6.0,33495.0,0.959110042093,Danmark,Vanløse
1995.0,5100.0,7.0,34447.0,0.919911338995,Danmark,Brønshøj-Husum
1995.0,5100.0,8.0,37787.0,0.905489923558,Danmark,Bispebjerg
1995.0,5100.0,9.0,42083.0,0.912151031732,Danmark,Amager Øst
1995.0,5100.0,10.0,40144.0,0.91930017404,Danmark,Amager Vest
1995.0,5100.0,99.0,1388.0,0.603215993047,Danmark,Udenfor inddeling
1996.0,0.0,0.0,48844.0,0.102451803982,Foreign Nations,All Districts
1996.0,0.0,1.0,3330.0,0.0797127468582,Foreign Nations,Indre By
1996.0,0.0,2.0,4523.0,0.0701207695766,Foreign Nations,Østerbro
1996.0,0.0,3.0,11722.0,0.168165841762,Foreign Nations,Nørrebro
1996.0,0.0,4.0,6951.0,0.145619474588,Foreign Nations,Vesterbro/Kgs. Enghave
1996.0,0.0,5.0,3646.0,0.080991625386,Foreign Nations,Valby
1996.0,0.0,6.0,1609.0,0.0458901374708,Foreign Nations,Vanløse
1996.0,0.0,7.0,3264.0,0.0871562082777,Foreign Nations,Brønshøj-Husum
1996.0,0.0,8.0,4554.0,0.106923998028,Foreign Nations,Bispebjerg
1996.0,0.0,9.0,4406.0,0.0948608090942,Foreign Nations,Amager Øst
1996.0,0.0,10.0,3834.0,0.087051290784,Foreign Nations,Amager Vest
1996.0,0.0,99.0,1005.0,0.414603960396,Foreign Nations,Udenfor inddeling
1996.0,5100.0,0.0,427907.0,0.897548196018,Danmark,All Districts
1996.0,5100.0,1.0,38445.0,0.920287253142,Danmark,Indre By
1996.0,5100.0,2.0,59980.0,0.929879230423,Danmark,Østerbro
1996.0,5100.0,3.0,57983.0,0.831834158238,Danmark,Nørrebro
1996.0,5100.0,4.0,40783.0,0.854380525412,Danmark,Vesterbro/Kgs. Enghave
1996.0,5100.0,5.0,41371.0,0.919008374614,Danmark,Valby
1996.0,5100.0,6.0,33453.0,0.954109862529,Danmark,Vanløse
1996.0,5100.0,7.0,34186.0,0.912843791722,Danmark,Brønshøj-Husum
1996.0,5100.0,8.0,38037.0,0.893076001972,Danmark,Bispebjerg
1996.0,5100.0,9.0,42041.0,0.905139190906,Danmark,Amager Øst
1996.0,5100.0,10.0,40209.0,0.912948709216,Danmark,Amager Vest
1996.0,5100.0,99.0,1419.0,0.585396039604,Danmark,Udenfor inddeling
1997.0,0.0,0.0,52888.0,0.109349995245,Foreign Nations,All Districts
1997.0,0.0,1.0,3520.0,0.0830384524652,Foreign Nations,Indre By
1997.0,0.0,2.0,4967.0,0.075422133139,Foreign Nations,Østerbro
1997.0,0.0,3.0,12370.0,0.174601606278,Foreign Nations,Nørrebro
1997.0,0.0,4.0,7188.0,0.148896944588,Foreign Nations,Vesterbro/Kgs. Enghave
1997.0,0.0,5.0,3936.0,0.0868203374876,Foreign Nations,Valby
1997.0,0.0,6.0,1749.0,0.0495579734784,Foreign Nations,Vanløse
1997.0,0.0,7.0,3955.0,0.102567427386,Foreign Nations,Brønshøj-Husum
1997.0,0.0,8.0,5147.0,0.119411641881,Foreign Nations,Bispebjerg
1997.0,0.0,9.0,4841.0,0.103555232309,Foreign Nations,Amager Øst
1997.0,0.0,10.0,4053.0,0.0912755607603,Foreign Nations,Amager Vest
1997.0,0.0,99.0,1162.0,0.408005617978,Foreign Nations,Udenfor inddeling
1997.0,5100.0,0.0,430770.0,0.890650004755,Danmark,All Districts
1997.0,5100.0,1.0,38870.0,0.916961547535,Danmark,Indre By
1997.0,5100.0,2.0,60889.0,0.924577866861,Danmark,Østerbro
1997.0,5100.0,3.0,58477.0,0.825398393722,Danmark,Nørrebro
1997.0,5100.0,4.0,41087.0,0.851103055412,Danmark,Vesterbro/Kgs. Enghave
1997.0,5100.0,5.0,41399.0,0.913179662512,Danmark,Valby
1997.0,5100.0,6.0,33543.0,0.950442026522,Danmark,Vanløse
1997.0,5100.0,7.0,34605.0,0.897432572614,Danmark,Brønshøj-Husum
1997.0,5100.0,8.0,37956.0,0.880588358119,Danmark,Bispebjerg
1997.0,5100.0,9.0,41907.0,0.896444767691,Danmark,Amager Øst
1997.0,5100.0,10.0,40351.0,0.90872443924,Danmark,Amager Vest
1997.0,5100.0,99.0,1686.0,0.591994382022,Danmark,Udenfor inddeling
1998.0,0.0,0.0,55874.0,0.114503175407,Foreign Nations,All Districts
1998.0,0.0,1.0,3674.0,0.0860925600469,Foreign Nations,Indre By
1998.0,0.0,2.0,5121.0,0.0774173066457,Foreign Nations,Østerbro
1998.0,0.0,3.0,12836.0,0.179793537182,Foreign Nations,Nørrebro
1998.0,0.0,4.0,7437.0,0.151438636502,Foreign Nations,Vesterbro/Kgs. Enghave
1998.0,0.0,5.0,4301.0,0.0940561581526,Foreign Nations,Valby
1998.0,0.0,6.0,1840.0,0.0518528955897,Foreign Nations,Vanløse
1998.0,0.0,7.0,4335.0,0.111008680956,Foreign Nations,Brønshøj-Husum
1998.0,0.0,8.0,5552.0,0.128337301496,Foreign Nations,Bispebjerg
1998.0,0.0,9.0,5096.0,0.108561811636,Foreign Nations,Amager Øst
1998.0,0.0,10.0,4379.0,0.0976060984308,Foreign Nations,Amager Vest
1998.0,0.0,99.0,1303.0,0.39318044659,Foreign Nations,Udenfor inddeling
1998.0,5100.0,0.0,432095.0,0.885496824593,Danmark,All Districts
1998.0,5100.0,1.0,39001.0,0.913907439953,Danmark,Indre By
1998.0,5100.0,2.0,61027.0,0.922582693354,Danmark,Østerbro
1998.0,5100.0,3.0,58557.0,0.820206462818,Danmark,Nørrebro
1998.0,5100.0,4.0,41672.0,0.848561363498,Danmark,Vesterbro/Kgs. Enghave
1998.0,5100.0,5.0,41427.0,0.905943841847,Danmark,Valby
1998.0,5100.0,6.0,33645.0,0.94814710441,Danmark,Vanløse
1998.0,5100.0,7.0,34716.0,0.888991319044,Danmark,Brønshøj-Husum
1998.0,5100.0,8.0,37709.0,0.871662698504,Danmark,Bispebjerg
1998.0,5100.0,9.0,41845.0,0.891438188364,Danmark,Amager Øst
1998.0,5100.0,10.0,40485.0,0.902393901569,Danmark,Amager Vest
1998.0,5100.0,99.0,2011.0,0.60681955341,Danmark,Udenfor inddeling
1999.0,0.0,0.0,57462.0,0.117011008345,Foreign Nations,All Districts
1999.0,0.0,1.0,4029.0,0.0928276847223,Foreign Nations,Indre By
1999.0,0.0,2.0,5099.0,0.0769137944038,Foreign Nations,Østerbro
1999.0,0.0,3.0,13057.0,0.180400121584,Foreign Nations,Nørrebro
1999.0,0.0,4.0,7545.0,0.152362681745,Foreign Nations,Vesterbro/Kgs. Enghave
1999.0,0.0,5.0,4557.0,0.0988374615018,Foreign Nations,Valby
1999.0,0.0,6.0,1959.0,0.0550064581344,Foreign Nations,Vanløse
1999.0,0.0,7.0,4697.0,0.119198071311,Foreign Nations,Brønshøj-Husum
1999.0,0.0,8.0,5845.0,0.134056558336,Foreign Nations,Bispebjerg
1999.0,0.0,9.0,5185.0,0.109740094819,Foreign Nations,Amager Øst
1999.0,0.0,10.0,4611.0,0.102382485512,Foreign Nations,Amager Vest
1999.0,0.0,99.0,878.0,0.354747474747,Foreign Nations,Udenfor inddeling
1999.0,5100.0,0.0,433620.0,0.882988991655,Danmark,All Districts
1999.0,5100.0,1.0,39374.0,0.907172315278,Danmark,Indre By
1999.0,5100.0,2.0,61196.0,0.923086205596,Danmark,Østerbro
1999.0,5100.0,3.0,59321.0,0.819599878416,Danmark,Nørrebro
1999.0,5100.0,4.0,41975.0,0.847637318255,Danmark,Vesterbro/Kgs. Enghave
1999.0,5100.0,5.0,41549.0,0.901162538498,Danmark,Valby
1999.0,5100.0,6.0,33655.0,0.944993541866,Danmark,Vanløse
1999.0,5100.0,7.0,34708.0,0.880801928689,Danmark,Brønshøj-Husum
1999.0,5100.0,8.0,37756.0,0.865943441664,Danmark,Bispebjerg
1999.0,5100.0,9.0,42063.0,0.890259905181,Danmark,Amager Øst
1999.0,5100.0,10.0,40426.0,0.897617514488,Danmark,Amager Vest
1999.0,5100.0,99.0,1597.0,0.645252525253,Danmark,Udenfor inddeling
2000.0,0.0,0.0,58540.0,0.118095860593,Foreign Nations,All Districts
2000.0,0.0,1.0,4032.0,0.0922844521755,Foreign Nations,Indre By
2000.0,0.0,2.0,5164.0,0.077452641999,Foreign Nations,Østerbro
2000.0,0.0,3.0,12775.0,0.175016782431,Foreign Nations,Nørrebro
2000.0,0.0,4.0,7610.0,0.151256161552,Foreign Nations,Vesterbro/Kgs. Enghave
2000.0,0.0,5.0,4596.0,0.099461143933,Foreign Nations,Valby
2000.0,0.0,6.0,2106.0,0.0587906872871,Foreign Nations,Vanløse
2000.0,0.0,7.0,4839.0,0.12202133293,Foreign Nations,Brønshøj-Husum
2000.0,0.0,8.0,6209.0,0.140313213261,Foreign Nations,Bispebjerg
2000.0,0.0,9.0,5141.0,0.108156438685,Foreign Nations,Amager Øst
2000.0,0.0,10.0,4814.0,0.106042249488,Foreign Nations,Amager Vest
2000.0,0.0,99.0,1254.0,0.39670990193,Foreign Nations,Udenfor inddeling
